n_vertices,n_qubits,n_graphs,avg_edges,avg_matchings,matching_cx_mean,matching_cx_std,matching_cx_min,matching_cx_max,pauli_cx_mean,pauli_cx_std,pauli_cx_min,pauli_cx_max,cx_diff_mean,cx_diff_std,cx_ratio_mean,cx_ratio_std,matching_wins,pauli_wins,draws
4,2,3,1.6666666666666667,1.3333333333333333,2.0,0.0,2,2,2.0,0.0,2,2,0.0,0.0,1.0,0.0,0,0,3
8,3,9,2.7777777777777777,1.7777777777777777,21.88888888888889,9.400059101469049,9,34,16.11111111111111,7.507403753036805,6,27,5.777777777777778,7.241853660800143,1.5443920688365131,0.9674448164491853,2,7,0
16,4,40,4.65,2.4,94.45,33.32893560733599,25,170,72.375,23.246381025209725,33,128,22.075,20.838066129082133,1.3146579251456614,0.3267828614169808,6,33,1
32,5,100,7.42,2.56,192.08,56.515427410164165,30,316,257.2,66.68242238060533,70,412,-65.12,41.035899533275135,0.7473284907729465,0.1507088916511295,95,4,1
64,6,100,20.13,3.09,861.84,186.02458401669887,406,1340,1280.95,200.46049889232947,821,1817,-419.11,130.16197329838425,0.6716268996995884,0.09302610577540561,100,0,0
128,7,100,82.41,5.19,4902.64,482.1923736980141,3682,6254,7124.64,504.3234796449716,5697,8235,-2222.0,438.078587110633,0.6887105909575095,0.05451642990643748,100,0,0
