graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,128,13,115,105,0.203125,3,0.0015994094488188976,1,-1,2,0.0,32,4,1.5384615384615385,1,3,8,5
1,128,5,123,119,0.078125,2,0.0006151574803149606,1,-1,2,0.0,32,3,3.6,1,6,1,4
2,128,6,122,116,0.09375,1,0.0007381889763779527,1,-1,2,0.0,32,2,2.5,1,4,1,5
3,128,4,124,120,0.0625,1,0.0004921259842519685,1,-1,2,0.0,32,2,1.5,1,2,2,2
4,128,3,125,122,0.046875,1,0.00036909448818897637,1,-1,2,0.0,32,2,3.0,3,3,0,3
5,128,5,123,118,0.078125,1,0.0006151574803149606,1,-1,2,0.0,32,2,1.8,1,3,3,2
6,128,14,114,104,0.21875,2,0.0017224409448818897,1,-1,2,0.0,32,3,2.2857142857142856,1,6,6,8
7,128,14,114,103,0.21875,2,0.0017224409448818897,1,-1,2,0.0,32,3,2.0714285714285716,1,5,6,8
8,128,8,120,115,0.125,2,0.000984251968503937,1,-1,2,0.0,32,3,2.75,1,7,2,6
9,128,9,119,111,0.140625,2,0.0011072834645669291,1,-1,2,0.0,32,3,2.6666666666666665,1,7,3,6
10,128,7,121,114,0.109375,1,0.0008612204724409449,1,-1,2,0.0,32,2,2.2857142857142856,1,6,3,4
11,128,8,120,113,0.125,2,0.000984251968503937,1,-1,2,0.0,32,3,3.5,2,7,0,8
12,128,12,116,105,0.1875,2,0.0014763779527559055,1,-1,2,0.0,32,3,2.1666666666666665,1,3,4,8
13,128,10,118,108,0.15625,1,0.0012303149606299212,1,-1,2,0.0,32,2,2.5,1,7,4,6
14,128,14,114,103,0.21875,2,0.0017224409448818897,1,-1,2,0.0,32,3,2.2857142857142856,1,7,6,8
15,128,10,118,111,0.15625,2,0.0012303149606299212,1,-1,2,0.0,32,3,1.9,1,7,6,4
16,128,13,115,106,0.203125,3,0.0015994094488188976,1,-1,2,0.0,32,4,1.6923076923076923,1,3,7,6
17,128,9,119,110,0.140625,1,0.0011072834645669291,1,-1,2,0.0,32,2,2.3333333333333335,1,7,5,4
18,128,4,124,121,0.0625,2,0.0004921259842519685,1,-1,2,0.0,32,3,1.5,1,2,2,2
19,128,13,115,104,0.203125,2,0.0015994094488188976,1,-1,2,0.0,32,3,1.7692307692307692,1,3,7,6
20,128,10,118,109,0.15625,2,0.0012303149606299212,1,-1,2,0.0,32,3,2.5,1,6,4,6
21,128,12,116,108,0.1875,2,0.0014763779527559055,1,-1,2,0.0,32,3,2.1666666666666665,1,4,5,7
22,128,7,121,115,0.109375,2,0.0008612204724409449,1,-1,2,0.0,32,3,3.857142857142857,1,7,2,5
23,128,9,119,112,0.140625,2,0.0011072834645669291,1,-1,2,0.0,32,3,2.111111111111111,1,3,3,6
24,128,3,125,123,0.046875,2,0.00036909448818897637,1,-1,2,0.0,32,3,4.0,3,6,0,3
25,128,8,120,112,0.125,1,0.000984251968503937,1,-1,2,0.0,32,2,2.125,1,3,2,6
26,128,11,117,109,0.171875,2,0.0013533464566929134,1,-1,2,0.0,32,3,2.272727272727273,1,5,3,8
27,128,14,114,101,0.21875,2,0.0017224409448818897,1,-1,2,0.0,32,3,2.857142857142857,1,7,3,11
28,128,10,118,111,0.15625,2,0.0012303149606299212,1,-1,2,0.0,32,3,1.8,1,3,4,6
29,128,6,122,117,0.09375,2,0.0007381889763779527,1,-1,2,0.0,32,3,2.3333333333333335,1,3,1,5
30,128,13,115,105,0.203125,2,0.0015994094488188976,1,-1,2,0.0,32,3,2.076923076923077,1,3,3,10
