n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
2,4,1,1,2,5,5,2,3,5,0,1.0,0,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,2,2,2,6,5,2,6,5,0,1.0,1,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,3,2,2,6,5,2,6,5,0,1.0,2,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,2,1,0,1,1,0,1,1,0,,3,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,4,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,4,3,2,6,5,2,6,5,0,1.0,5,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,6,erdos_renyi_p0_03,7graph_erdos_renyi_p0_03_4v.g6
3,8,2,2,16,22,27,11,17,20,5,1.4545454545454546,0,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,1,1,8,11,13,6,8,12,2,1.3333333333333333,1,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,2,1,4,3,7,6,6,10,-2,0.6666666666666666,2,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,3,2,22,30,38,24,31,41,-2,0.9166666666666666,3,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,5,4,43,46,69,28,47,52,15,1.5357142857142858,4,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,3,2,24,27,39,19,31,36,5,1.263157894736842,5,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
3,8,3,2,27,31,44,20,32,38,7,1.35,6,erdos_renyi_p0_03,30graph_erdos_renyi_p0_03_8v.g6
