n_vertices,n_qubits,n_graphs,avg_edges,avg_matchings,matching_cx_mean,matching_cx_std,matching_cx_min,matching_cx_max,pauli_cx_mean,pauli_cx_std,pauli_cx_min,pauli_cx_max,cx_diff_mean,cx_diff_std,cx_ratio_mean,cx_ratio_std,matching_wins,pauli_wins,draws
4,2,7,2.5714285714285716,2.142857142857143,2.0,1.0,0,3,2.0,1.0,0,3,0.0,0.0,1.0,0.0,0,0,7
8,3,30,4.166666666666667,2.6,27.233333333333334,9.978194617068358,4,44,20.033333333333335,5.726425937964142,6,29,7.2,6.572670690061994,1.351001338063629,0.3226249357301905,5,25,0
16,4,100,6.09,2.74,122.39,36.75001408643996,21,194,81.41,20.07767492273521,25,120,40.98,26.961244163960366,1.5168922045384168,0.3783063619519887,5,94,1
32,5,100,14.37,3.28,370.37,93.9004044698209,128,596,368.97,64.95708839944515,174,529,1.4,71.01586108224363,1.0053170056990781,0.19855103184044537,53,47,0
64,6,100,59.81,5.82,2498.44,267.1502554554253,1796,3152,1997.69,134.20764064717332,1587,2240,500.75,252.8076433683415,1.2531196413153116,0.13122823894118327,2,98,0
128,7,100,246.47,9.85,14541.3,982.9480858081668,12478,16898,9055.81,203.3901905106527,8415,9553,5485.49,942.9158246759052,1.6058381856833166,0.1032900823206641,0,100,0
