n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
2,4,1,1,2,5,5,2,3,5,0,1.0,0,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,2,2,2,6,5,2,6,5,0,1.0,1,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,2,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,2,1,0,1,1,0,1,1,0,,3,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,3,2,2,6,5,2,6,5,0,1.0,4,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,5,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
2,4,4,3,2,6,5,2,6,5,0,1.0,6,erdos_renyi_p0_05,7graph_erdos_renyi_p0_05_4v.g6
3,8,3,2,26,29,41,22,32,40,4,1.1818181818181819,0,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,1,1,9,13,16,8,12,16,1,1.125,1,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,2,2,17,21,28,12,18,22,5,1.4166666666666667,2,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,2,2,17,19,27,15,24,28,2,1.1333333333333333,3,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,3,35,35,54,20,31,37,15,1.75,4,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,2,36,40,58,23,38,43,13,1.565217391304348,5,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,3,2,25,29,41,21,32,40,4,1.1904761904761905,6,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,2,22,24,37,20,30,37,2,1.1,7,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,3,2,26,31,42,22,32,40,4,1.1818181818181819,8,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,3,34,37,54,25,41,47,9,1.36,9,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,3,3,26,28,43,17,31,34,9,1.5294117647058822,10,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,4,34,37,54,24,33,42,10,1.4166666666666667,11,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,5,3,28,31,44,18,21,31,10,1.5555555555555556,12,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,1,18,21,29,5,9,9,13,3.6,13,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,5,4,42,46,67,27,46,52,15,1.5555555555555556,14,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,3,32,32,49,15,22,28,17,2.1333333333333333,15,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,5,4,38,49,63,24,39,47,14,1.5833333333333333,16,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,5,4,42,46,66,24,35,43,18,1.75,17,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,5,4,45,48,73,29,48,55,16,1.5517241379310345,18,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,2,19,25,31,11,13,18,8,1.7272727272727273,19,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,3,17,20,28,21,33,38,-4,0.8095238095238095,20,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
3,8,4,4,35,38,57,24,43,47,11,1.4583333333333333,21,erdos_renyi_p0_05,57graph_erdos_renyi_p0_05_8v.g6
