n_vertices,n_qubits,n_graphs,avg_edges,avg_matchings,matching_cx_mean,matching_cx_std,matching_cx_min,matching_cx_max,pauli_cx_mean,pauli_cx_std,pauli_cx_min,pauli_cx_max,cx_diff_mean,cx_diff_std,cx_ratio_mean,cx_ratio_std,matching_wins,pauli_wins,draws
4,2,7,2.5714285714285716,2.142857142857143,2.0,1.0,0,3,2.0,1.0,0,3,0.0,0.0,1.0,0.0,0,0,7
8,3,57,4.912280701754386,3.491228070175439,35.49122807017544,11.332826540342163,9,63,21.087719298245613,5.571870363564728,5,30,14.403508771929825,9.261787179285971,1.7417956740512683,0.5767611968102971,2,55,0
16,4,100,6.94,3.56,133.41,41.95935864354671,22,242,86.13,19.93051312774846,20,130,47.28,31.763036773118927,1.5521358893368324,0.373808667235761,6,94,0
32,5,100,25.55,6.82,642.09,128.85675195833753,335,1017,463.46,49.174687584059946,300,575,178.63,102.06767956665425,1.3808783374958948,0.208881678882074,1,99,0
64,6,100,100.28,11.73,4141.28,477.45762052138133,3008,5434,2199.95,96.64820879160804,1903,2360,1941.33,450.54801771023944,1.8825091793553441,0.20275468591372361,0,100,0
128,7,100,406.15,19.88,23770.0,1174.458585773449,21050,26426,9417.97,121.72775178879941,9042,9730,14352.03,1168.750065780801,2.524162657014669,0.12535188783891543,0,100,0
