graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,64,10,54,46,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.4,1,4,2,8
1,64,4,60,56,0.125,1,0.001984126984126984,1,-1,2,0.0,16,2,2.75,2,3,0,4
2,64,11,53,48,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,3.0,1,6,2,9
3,64,9,55,50,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,2.5555555555555554,2,3,0,9
4,64,12,52,44,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.75,1,4,1,11
5,64,6,58,52,0.1875,1,0.002976190476190476,1,-1,2,0.0,16,2,3.6666666666666665,2,6,0,6
6,64,9,55,48,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,1.8888888888888888,1,3,4,5
7,64,3,61,58,0.09375,1,0.001488095238095238,1,-1,2,0.0,16,2,2.3333333333333335,2,3,0,3
8,64,5,59,54,0.15625,1,0.00248015873015873,1,-1,2,0.0,16,2,3.0,2,4,0,5
9,64,7,57,50,0.21875,1,0.003472222222222222,1,-1,2,0.0,16,2,3.857142857142857,1,6,2,5
10,64,12,52,43,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.4166666666666665,2,4,0,12
11,64,10,54,47,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.6,1,5,2,8
12,64,10,54,44,0.3125,1,0.00496031746031746,1,-1,2,0.0,16,2,2.5,2,5,0,10
13,64,12,52,44,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.0833333333333335,1,3,3,9
14,64,10,54,48,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.1,1,3,1,9
15,64,8,56,50,0.25,2,0.003968253968253968,1,-1,2,0.0,16,3,2.375,2,3,0,8
16,64,12,52,45,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,3.0833333333333335,1,6,1,11
17,64,11,53,44,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.3636363636363638,1,3,1,10
18,64,4,60,57,0.125,2,0.001984126984126984,1,-1,2,0.0,16,3,1.5,1,2,2,2
19,64,8,56,49,0.25,2,0.003968253968253968,1,-1,2,0.0,16,3,2.375,1,4,2,6
20,64,11,53,45,0.34375,3,0.005456349206349206,1,-1,2,0.0,16,4,2.5454545454545454,2,3,0,11
21,64,12,52,44,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.3333333333333335,1,5,1,11
22,64,7,57,51,0.21875,2,0.003472222222222222,1,-1,2,0.0,16,3,2.4285714285714284,1,4,1,6
23,64,3,61,59,0.09375,2,0.001488095238095238,1,-1,2,0.0,16,3,2.6666666666666665,1,5,1,2
24,64,12,52,46,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.5,1,3,2,10
25,64,6,58,53,0.1875,2,0.002976190476190476,1,-1,2,0.0,16,3,2.3333333333333335,1,3,2,4
26,64,12,52,44,0.375,3,0.005952380952380952,1,-1,2,0.0,16,4,2.25,1,4,3,9
27,64,11,53,47,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.272727272727273,1,4,1,10
28,64,5,59,55,0.15625,2,0.00248015873015873,1,-1,2,0.0,16,3,2.8,2,3,0,5
29,64,10,54,45,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.1,1,3,4,6
30,64,12,52,43,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.4166666666666665,1,4,2,10
31,64,11,53,43,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.5454545454545454,1,5,2,9
32,64,11,53,46,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.3636363636363638,1,4,1,10
33,64,12,52,42,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,3.5,2,6,0,12
34,64,11,53,46,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.1818181818181817,1,3,1,10
35,64,7,57,53,0.21875,2,0.003472222222222222,1,-1,2,0.0,16,3,2.2857142857142856,1,3,1,6
36,64,11,53,48,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.090909090909091,1,3,2,9
37,64,11,53,46,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.272727272727273,1,3,2,9
38,64,12,52,45,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.5833333333333335,1,4,1,11
39,64,11,53,44,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.272727272727273,1,6,4,7
40,64,10,54,47,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.2,1,3,2,8
41,64,11,53,46,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.3636363636363638,1,3,1,10
42,64,9,55,47,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,2.7777777777777777,1,6,2,7
43,64,8,56,51,0.25,2,0.003968253968253968,1,-1,2,0.0,16,3,2.0,1,3,2,6
44,64,11,53,48,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.5454545454545454,2,6,0,11
45,64,9,55,48,0.28125,3,0.004464285714285714,1,-1,2,0.0,16,3,2.6666666666666665,1,5,1,8
46,64,8,56,48,0.25,1,0.003968253968253968,1,-1,2,0.0,16,2,1.875,1,3,2,6
47,64,9,55,49,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,2.111111111111111,1,3,3,6
48,64,11,53,45,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.5454545454545454,1,4,1,10
49,64,10,54,49,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.8,1,5,1,9
50,64,9,55,46,0.28125,1,0.004464285714285714,1,-1,2,0.0,16,2,2.6666666666666665,1,5,1,8
51,64,7,57,53,0.21875,2,0.003472222222222222,1,-1,2,0.0,16,3,2.4285714285714284,1,3,1,6
52,64,6,58,54,0.1875,2,0.002976190476190476,1,-1,2,0.0,16,3,2.6666666666666665,1,6,2,4
53,64,8,56,52,0.25,3,0.003968253968253968,1,-1,2,0.0,16,4,2.625,1,3,1,7
54,64,12,52,45,0.375,3,0.005952380952380952,1,-1,2,0.0,16,4,2.9166666666666665,1,6,1,11
55,64,7,57,52,0.21875,3,0.003472222222222222,1,-1,2,0.0,16,3,3.0,1,6,1,6
56,64,12,52,46,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.75,1,6,2,10
57,64,7,57,53,0.21875,2,0.003472222222222222,1,-1,2,0.0,16,3,3.0,2,5,0,7
58,64,7,57,52,0.21875,2,0.003472222222222222,1,-1,2,0.0,16,3,3.2857142857142856,2,6,0,7
59,64,12,52,45,0.375,3,0.005952380952380952,1,-1,2,0.0,16,4,2.5,1,5,2,10
60,64,11,53,45,0.34375,2,0.005456349206349206,1,-1,2,0.0,16,3,2.3636363636363638,1,3,1,10
61,64,12,52,46,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,3.0833333333333335,1,6,1,11
62,64,10,54,47,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.1,1,3,2,8
63,64,12,52,44,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.1666666666666665,1,3,2,10
64,64,12,52,43,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.6666666666666665,1,5,1,11
65,64,9,55,48,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,2.6666666666666665,1,5,1,8
66,64,9,55,50,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,3.4444444444444446,1,6,1,8
67,64,11,53,44,0.34375,3,0.005456349206349206,1,-1,2,0.0,16,3,2.1818181818181817,1,3,2,9
68,64,5,59,56,0.15625,3,0.00248015873015873,1,-1,2,0.0,16,3,2.8,1,4,1,4
69,64,9,55,50,0.28125,2,0.004464285714285714,1,-1,2,0.0,16,3,1.7777777777777777,1,2,2,7
70,64,10,54,46,0.3125,2,0.00496031746031746,1,-1,2,0.0,16,3,2.7,2,5,0,10
71,64,12,52,46,0.375,3,0.005952380952380952,1,-1,2,0.0,16,4,2.3333333333333335,1,4,2,10
72,64,6,58,54,0.1875,2,0.002976190476190476,1,-1,2,0.0,16,3,2.8333333333333335,1,5,1,5
73,64,8,56,50,0.25,2,0.003968253968253968,1,-1,2,0.0,16,3,2.125,1,3,2,6
74,64,12,52,41,0.375,2,0.005952380952380952,1,-1,2,0.0,16,3,2.0833333333333335,1,3,2,10
75,64,11,53,46,0.34375,3,0.005456349206349206,1,-1,2,0.0,16,4,2.727272727272727,2,5,0,11
