graph_index,n_qubits,n_vertices,n_edges,density,time,trotter_steps,matching_diff,pauli_diff
0,5,32,31,0.0625,0.1,1,0.009807979929913528,0.009807979929913694
0,5,32,31,0.0625,0.1,3,0.003266116051004658,0.0032661160510050746
0,5,32,31,0.0625,0.1,5,0.001959515767812149,0.001959515767812446
0,5,32,31,0.0625,0.1,7,0.0013996238453042563,0.001399623845306094
0,5,32,31,0.0625,0.1,9,0.001088586634495935,0.0010885866344962159
0,5,32,31,0.0625,0.1,11,0.0008906577788622591,0.000890657778862229
0,5,32,31,0.0625,0.1,13,0.0007536315522315539,0.0007536315522334071
0,5,32,31,0.0625,0.1,15,0.0006531462833466315,0.0006531462833468175
0,5,32,31,0.0625,0.1,17,0.0005763049179295181,0.0005763049179309003
0,5,32,31,0.0625,0.1,19,0.0005156408495007103,0.0005156408495020078
0,5,32,31,0.0625,0.5,1,0.23255765945460144,0.23255765945460166
0,5,32,31,0.0625,0.5,3,0.0757485758835465,0.07574857588354741
0,5,32,31,0.0625,0.5,5,0.04536727406968918,0.04536727406968992
0,5,32,31,0.0625,0.5,7,0.03238913948260616,0.03238913948260768
0,5,32,31,0.0625,0.5,9,0.02518641903716136,0.02518641903716244
0,5,32,31,0.0625,0.5,11,0.020604944808149464,0.02060494480815107
0,5,32,31,0.0625,0.5,13,0.017433919228407112,0.017433919228407098
0,5,32,31,0.0625,0.5,15,0.015108834462088775,0.0151088344620907
0,5,32,31,0.0625,0.5,17,0.013330993028970254,0.013330993028968762
0,5,32,31,0.0625,0.5,19,0.011927522645964979,0.011927522645967437
0,5,32,31,0.0625,1.0,1,0.7910952826476341,0.7910952826476344
0,5,32,31,0.0625,1.0,3,0.24602123217622937,0.24602123217623031
0,5,32,31,0.0625,1.0,5,0.14683600537173205,0.1468360053717329
0,5,32,31,0.0625,1.0,7,0.10473117221059776,0.1047311722105994
0,5,32,31,0.0625,1.0,9,0.08140913331273464,0.08140913331273597
0,5,32,31,0.0625,1.0,11,0.06658742648437459,0.06658742648437538
0,5,32,31,0.0625,1.0,13,0.05633345532373396,0.05633345532373718
