graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,64,63,1,0,1.96875,2,0.03125,1,63,2,0.0,16,2,1.9047619047619047,1,6,32,31
1,64,64,1,0,2.0,3,0.031746031746031744,0,58,2,0.0,16,3,1.90625,1,6,32,32
2,64,64,1,0,2.0,3,0.031746031746031744,1,51,2,0.0,16,3,1.921875,1,6,32,32
3,64,64,1,0,2.0,3,0.031746031746031744,0,35,2,0.0,16,3,1.921875,1,6,32,32
4,64,64,1,0,2.0,3,0.031746031746031744,0,36,2,0.0,16,3,1.9375,1,6,32,32
5,64,64,1,0,2.0,3,0.031746031746031744,0,58,2,0.0,16,3,1.90625,1,6,32,32
6,64,64,1,0,2.0,3,0.031746031746031744,0,62,3,0.026041666666666664,16,3,1.890625,1,6,33,31
7,64,64,1,0,2.0,3,0.031746031746031744,1,38,2,0.0,16,3,1.9375,1,6,32,32
8,64,64,1,0,2.0,3,0.031746031746031744,1,57,2,0.0,16,3,1.90625,1,6,32,32
9,64,64,1,0,2.0,3,0.031746031746031744,0,47,2,0.0,16,3,1.90625,1,6,32,32
10,64,64,1,0,2.0,3,0.031746031746031744,1,59,2,0.0,16,3,1.921875,1,6,32,32
11,64,64,1,0,2.0,3,0.031746031746031744,1,48,2,0.0,16,3,1.953125,1,6,32,32
12,64,64,1,0,2.0,3,0.031746031746031744,0,62,3,0.026041666666666664,16,3,1.890625,1,6,33,31
13,64,64,1,0,2.0,3,0.031746031746031744,0,56,2,0.0,16,3,1.890625,1,6,33,31
14,64,64,1,0,2.0,3,0.031746031746031744,0,33,2,0.0,16,3,1.9375,1,6,32,32
15,64,64,1,0,2.0,3,0.031746031746031744,0,60,2,0.0,16,3,1.921875,1,6,32,32
16,64,64,1,0,2.0,3,0.031746031746031744,1,61,2,0.0,16,3,1.90625,1,6,32,32
17,64,64,1,0,2.0,3,0.031746031746031744,0,60,2,0.0,16,3,1.890625,1,6,33,31
