n_vertices,n_qubits,n_graphs,avg_edges,avg_matchings,matching_cx_mean,matching_cx_std,matching_cx_min,matching_cx_max,pauli_cx_mean,pauli_cx_std,pauli_cx_min,pauli_cx_max,cx_diff_mean,cx_diff_std,cx_ratio_mean,cx_ratio_std,matching_wins,pauli_wins,draws
4,2,3,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.1547005383792517,0,2,1.3333333333333333,1.1547005383792517,0,2,0.0,0.0,1.0,0.0,0,0,3
8,3,18,3.4444444444444446,2.2222222222222223,25.444444444444443,9.255981990819725,4,37,17.11111111111111,5.59294607086766,6,25,8.333333333333334,5.871165832719607,1.4802713717095421,0.39375348452448494,2,16,0
16,4,100,5.82,2.79,116.2,34.326713101070894,22,231,79.52,19.405549555097725,19,122,36.68,27.998874436251356,1.4857532043067252,0.40517289132734935,5,93,2
32,5,100,10.18,2.74,263.1,75.33956799086722,80,472,316.3,78.9100626016605,105,467,-53.2,48.14120644080035,0.8368106610603051,0.15104634151852708,84,15,1
64,6,100,39.61,4.41,1679.3,254.29854005626436,1144,2336,1747.72,148.24761431981005,1342,2106,-68.42,201.25004197251585,0.9602196492903868,0.1154379757207922,59,41,0
128,7,100,162.79,7.55,9643.08,845.5712990742896,8132,12000,8478.18,298.1794720898097,7729,9219,1164.9,714.3562688098137,1.1367742555332503,0.08226360508268564,3,97,0
