n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
2,4,2,1,0,1,1,0,1,1,0,,0,erdos_renyi_p0_02,3graph_erdos_renyi_p0_02_4v.g6
2,4,1,1,2,5,5,2,3,5,0,1.0,1,erdos_renyi_p0_02,3graph_erdos_renyi_p0_02_4v.g6
2,4,2,2,2,6,5,2,6,5,0,1.0,2,erdos_renyi_p0_02,3graph_erdos_renyi_p0_02_4v.g6
3,8,1,1,8,11,13,6,8,12,2,1.3333333333333333,0,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,2,1,4,5,7,6,6,10,-2,0.6666666666666666,1,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,2,2,17,20,28,18,20,31,-1,0.9444444444444444,2,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,3,2,28,32,45,18,30,35,10,1.5555555555555556,3,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,3,17,21,28,14,20,28,3,1.2142857142857142,4,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,3,2,24,30,39,18,27,34,6,1.3333333333333333,5,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,3,1,25,29,40,13,20,23,12,1.9230769230769231,6,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,3,3,25,29,41,19,30,35,6,1.3157894736842106,7,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,2,20,25,35,14,27,29,6,1.4285714285714286,8,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,3,37,40,60,18,28,33,19,2.0555555555555554,9,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,3,32,35,51,23,35,42,9,1.391304347826087,10,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,3,3,28,30,46,25,39,45,3,1.12,11,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,3,35,42,58,24,44,47,11,1.4583333333333333,12,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,2,35,37,56,22,37,42,13,1.5909090909090908,13,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,2,34,36,54,24,33,42,10,1.4166666666666667,14,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,4,3,33,37,53,17,23,30,16,1.9411764705882353,15,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,5,2,27,30,44,12,18,23,15,2.25,16,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
3,8,5,2,29,36,49,17,25,31,12,1.7058823529411764,17,erdos_renyi_p0_02,18graph_erdos_renyi_p0_02_8v.g6
4,16,1,1,22,17,31,19,27,35,3,1.1578947368421053,0,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,2,1,46,36,65,51,67,85,-5,0.9019607843137255,1,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,2,2,41,37,60,41,40,65,0,1.0,2,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,2,106,93,156,89,134,158,17,1.1910112359550562,3,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,3,83,69,116,63,79,109,20,1.3174603174603174,4,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,2,81,75,118,70,100,121,11,1.1571428571428573,5,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,3,2,64,53,87,61,74,101,3,1.0491803278688525,6,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,3,2,33,29,48,30,43,54,3,1.1,7,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,147,118,205,85,127,153,62,1.7294117647058824,8,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,3,88,77,127,77,108,130,11,1.1428571428571428,9,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,3,2,63,56,91,65,57,102,-2,0.9692307692307692,10,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,2,85,70,121,87,99,141,-2,0.9770114942528736,11,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,2,107,93,155,76,104,132,31,1.4078947368421053,12,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,2,85,75,124,44,48,75,41,1.9318181818181819,13,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,4,146,123,206,105,155,191,41,1.3904761904761904,14,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,124,105,176,84,115,149,40,1.4761904761904763,15,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,2,85,72,122,72,94,122,13,1.1805555555555556,16,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,2,108,86,150,91,123,156,17,1.1868131868131868,17,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,97,83,142,88,112,148,9,1.1022727272727273,18,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,93,76,132,47,75,87,46,1.9787234042553192,19,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,1,107,95,156,66,112,123,41,1.621212121212121,20,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,2,106,93,153,91,124,157,15,1.164835164835165,21,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,129,111,183,84,118,146,45,1.5357142857142858,22,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,3,3,64,53,90,48,75,87,16,1.3333333333333333,23,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,3,84,61,117,74,100,129,10,1.135135135135135,24,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,2,93,81,131,96,97,153,-3,0.96875,25,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,8,2,173,149,247,88,120,150,85,1.9659090909090908,26,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,108,85,153,96,126,167,12,1.125,27,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,2,69,61,100,55,37,78,14,1.2545454545454546,28,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,127,106,181,89,101,145,38,1.4269662921348314,29,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,94,82,137,78,93,128,16,1.205128205128205,30,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,5,104,85,149,88,112,149,16,1.1818181818181819,31,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,118,106,173,92,144,162,26,1.2826086956521738,32,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,150,127,214,88,143,161,62,1.7045454545454546,33,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,8,3,167,152,243,68,101,117,99,2.4558823529411766,34,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,150,126,216,84,114,150,66,1.7857142857142858,35,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,2,132,108,188,95,139,163,37,1.3894736842105264,36,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,106,87,152,49,59,79,57,2.163265306122449,37,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,108,92,157,95,135,160,13,1.1368421052631579,38,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,129,112,182,97,141,171,32,1.3298969072164948,39,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,147,121,209,88,148,163,59,1.6704545454545454,40,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,128,119,186,101,142,170,27,1.2673267326732673,41,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,2,121,103,172,66,96,117,55,1.8333333333333333,42,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,11,4,231,204,330,122,208,227,109,1.8934426229508197,43,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,7,3,121,104,173,79,105,131,42,1.5316455696202531,44,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,106,92,154,83,108,144,23,1.2771084337349397,45,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,2,96,85,141,57,95,107,39,1.6842105263157894,46,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,108,90,153,63,88,110,45,1.7142857142857142,47,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,111,91,158,99,127,166,12,1.121212121212121,48,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,4,91,78,131,89,115,146,2,1.0224719101123596,49,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,124,110,175,100,118,169,24,1.24,50,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,108,96,158,85,121,148,23,1.2705882352941176,51,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,3,105,89,153,89,97,146,16,1.1797752808988764,52,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,3,128,113,186,96,129,164,32,1.3333333333333333,53,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,3,81,66,109,57,72,101,24,1.4210526315789473,54,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,4,3,88,73,125,80,108,135,8,1.1,55,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,5,4,108,80,153,59,71,99,49,1.8305084745762712,56,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,6,2,126,106,181,75,107,138,51,1.68,57,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
4,16,8,3,166,149,243,97,133,165,69,1.711340206185567,58,erdos_renyi_p0_02,100graph_erdos_renyi_p0_02_16v.g6
