graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
49,32,10,23,17,0.625,2,0.020161290322580645,0,-1,3,0.09375,8,3,2.4,1,5,2,8
50,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.2222222222222223,1,5,4,5
51,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.125,1,3,1,7
52,32,7,25,21,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.142857142857143,1,5,3,4
53,32,9,23,17,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.7777777777777777,1,3,4,5
54,32,6,27,24,0.375,2,0.012096774193548387,0,-1,3,0.09375,8,3,2.3333333333333335,1,3,1,5
55,32,4,28,26,0.25,2,0.008064516129032258,1,-1,2,0.0,8,3,1.5,1,3,3,1
56,32,5,27,24,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,3.0,1,5,1,4
57,32,5,27,25,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,1.8,1,3,3,2
58,32,7,25,22,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.857142857142857,1,5,1,6
59,32,10,22,14,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.0,1,3,3,7
60,32,4,28,27,0.25,2,0.008064516129032258,1,-1,2,0.0,8,3,1.5,1,2,2,2
61,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.3,1,5,3,7
62,32,10,22,20,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.1,1,4,4,6
63,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.5,1,5,3,5
64,32,6,26,22,0.375,3,0.012096774193548387,1,-1,2,0.0,8,3,2.3333333333333335,1,4,1,5
65,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.625,1,5,1,7
66,32,8,24,22,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.5,1,2,4,4
67,32,9,23,17,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.111111111111111,1,3,3,6
68,32,8,25,21,0.5,2,0.016129032258064516,0,-1,3,0.09375,8,3,1.625,1,2,3,5
