run_id,timestamp,win,win_pct,lose,lose_pct,draw,draw_pct,draw_matching_cx,draw_matching_depth,draw_pauli_cx,draw_pauli_depth,lose_matching_cx,lose_matching_depth,lose_pauli_cx,lose_pauli_depth,win_matching_cx,win_matching_depth,win_pauli_cx,win_pauli_depth,config_graph_type,draw_graph_avg_clustering,draw_graph_avg_degree,draw_graph_clique_number,draw_graph_edge_count,draw_graph_edge_density,draw_graph_estimated_group_size,draw_graph_estimated_orbit_count,draw_graph_is_bipartite,draw_graph_max_degree,lose_graph_avg_clustering,lose_graph_avg_degree,lose_graph_clique_number,lose_graph_edge_count,lose_graph_edge_density,lose_graph_estimated_group_size,lose_graph_estimated_orbit_count,lose_graph_is_bipartite,lose_graph_max_degree,win_graph_avg_clustering,win_graph_avg_degree,win_graph_clique_number,win_graph_edge_count,win_graph_edge_density,win_graph_estimated_group_size,win_graph_estimated_orbit_count,win_graph_is_bipartite,win_graph_max_degree,timing_avg_per_graph,timing_max_per_graph,timing_min_per_graph,timing_total_analysis,config_delta_t,config_graph_type,config_matchings,config_n_qubits,config_n_steps,config_n_vertices,win_analysis_time,lose_analysis_time,draw_analysis_time
1,20251203_222234,168,84.00%,32,16.00%,0,0.00%,,,,,211.09,291.75,188.53,320.66,200.80,277.95,262.48,432.96,sparse_disconnected,,,,,,,,,,0.0100,0.5500,2.0900,8.8400,0.0200,8.0000,3.4100,0.8800,2.4100,0.0100,0.5100,2.0700,8.1400,0.0200,8.0000,3.3200,0.9200,2.3600,0.130000,0.180000,0.110000,26.860000,0.1,sparse_disconnected,automatic,5.0,1.0,32.0,0.14,0.13,
2,20251203_222303,165,82.50%,35,17.50%,0,0.00%,,,,,211.31,292.49,190.31,323.00,200.90,277.84,263.44,434.51,sparse_disconnected,,,,,,,,,,0.0100,0.5500,2.0900,8.8300,0.0200,8.0000,3.4300,0.8900,2.4300,0.0100,0.5100,2.0700,8.1300,0.0200,8.0000,3.3200,0.9200,2.3600,0.130000,0.170000,0.110000,26.710000,0.1,sparse_disconnected,automatic,5.0,1.0,32.0,0.13,0.13,
3,20251203_222332,167,83.50%,33,16.50%,0,0.00%,,,,,209.12,289.06,187.45,318.85,199.95,276.35,263.13,433.99,sparse_disconnected,,,,,,,,,,0.0100,0.5500,2.1200,8.7600,0.0200,8.0000,3.4200,0.8500,2.4200,0.0100,0.5100,2.0600,8.1600,0.0200,8.0000,3.3200,0.9300,2.3600,0.140000,0.180000,0.110000,27.090000,0.1,sparse_disconnected,automatic,5.0,1.0,32.0,0.14,0.13,
4,20251203_222401,167,83.50%,29,14.50%,4,2.00%,213.75,297.50,213.75,353.50,210.59,290.93,186.59,319.00,199.98,276.00,262.65,433.14,sparse_disconnected,0.0000,0.5600,2.0000,9.0000,0.0200,8.0000,4.0000,1.0000,3.0000,0.0100,0.5500,2.1400,8.8300,0.0200,8.0000,3.3400,0.7900,2.3400,0.0100,0.5100,2.0600,8.1400,0.0200,8.0000,3.3200,0.9300,2.3600,0.130000,0.180000,0.110000,26.710000,0.1,sparse_disconnected,automatic,5.0,1.0,32.0,0.13,0.13,0.14
5,20251203_222429,167,83.50%,33,16.50%,0,0.00%,,,,,212.45,294.33,189.91,322.70,199.59,276.46,262.65,433.23,sparse_disconnected,,,,,,,,,,0.0100,0.5500,2.1200,8.8500,0.0200,8.0000,3.3900,0.8200,2.3900,0.0100,0.5100,2.0600,8.1400,0.0200,8.0000,3.3200,0.9300,2.3700,0.130000,0.170000,0.110000,26.840000,0.1,sparse_disconnected,automatic,5.0,1.0,32.0,0.13,0.13,

# Summary Statistics
,MEAN,166.80,83.40%,32.40,16.20%,0.80,0.40%,213.75,297.50,213.75,353.50,210.91,291.71,188.56,320.84,200.24,276.92,262.87,433.57,,0.0000,0.5600,2.0000,9.0000,0.0200,8.0000,4.0000,1.0000,3.0000,0.0100,0.5500,2.1120,8.8220,0.0200,8.0000,3.3980,0.8460,2.3980,0.0100,0.5100,2.0640,8.1420,0.0200,8.0000,3.3200,0.9260,2.3620,0.132000,0.176000,0.110000,26.842000
,STD,0.98,0.49%,1.96,0.98%,1.60,0.80%,0.00,0.00,0.00,0.00,1.08,1.74,1.41,1.76,0.51,0.81,0.36,0.59,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0194,0.0319,0.0000,0.0000,0.0319,0.0372,0.0319,0.0000,0.0000,0.0049,0.0098,0.0000,0.0000,0.0000,0.0049,0.0040,0.004000,0.004899,0.000000,0.139054
