run_id,timestamp,win,win_pct,lose,lose_pct,draw,draw_pct,draw_matching_cx,draw_matching_depth,draw_pauli_cx,draw_pauli_depth,lose_matching_cx,lose_matching_depth,lose_pauli_cx,lose_pauli_depth,win_matching_cx,win_matching_depth,win_pauli_cx,win_pauli_depth,config_graph_type,draw_graph_avg_clustering,draw_graph_avg_degree,draw_graph_clique_number,draw_graph_edge_count,draw_graph_edge_density,draw_graph_estimated_group_size,draw_graph_estimated_orbit_count,draw_graph_is_bipartite,draw_graph_max_degree,lose_graph_avg_clustering,lose_graph_avg_degree,lose_graph_clique_number,lose_graph_edge_count,lose_graph_edge_density,lose_graph_estimated_group_size,lose_graph_estimated_orbit_count,lose_graph_is_bipartite,lose_graph_max_degree,win_graph_avg_clustering,win_graph_avg_degree,win_graph_clique_number,win_graph_edge_count,win_graph_edge_density,win_graph_estimated_group_size,win_graph_estimated_orbit_count,win_graph_is_bipartite,win_graph_max_degree,timing_avg_per_graph,timing_max_per_graph,timing_min_per_graph,timing_total_analysis,config_delta_t,config_graph_type,config_matchings,config_n_qubits,config_n_steps,config_n_vertices,win_analysis_time,lose_analysis_time,draw_analysis_time
1,20251203_222134,6,3.00%,193,96.50%,1,0.50%,117.00,168.00,117.00,201.00,137.42,197.25,91.58,157.71,87.17,126.67,94.83,155.00,sparse_disconnected,0.1900,0.8800,3.0000,7.0000,0.0600,4.0000,3.0000,0.0000,2.0000,0.0300,0.8700,2.1800,6.9300,0.0600,4.0000,3.4900,0.8000,2.5400,0.0600,0.5600,2.3300,4.5000,0.0400,4.0000,3.1700,0.6700,2.3300,0.050000,0.090000,0.040000,10.190000,0.1,sparse_disconnected,automatic,4.0,1.0,16.0,0.05,0.05,0.05
2,20251203_222146,8,4.00%,191,95.50%,1,0.50%,111.00,156.00,111.00,181.00,140.74,201.93,91.77,158.12,78.50,114.50,90.12,148.38,sparse_disconnected,0.1900,0.6200,3.0000,5.0000,0.0400,4.0000,3.0000,0.0000,2.0000,0.0300,0.8700,2.1900,6.9700,0.0600,4.0000,3.4900,0.7900,2.5300,0.0000,0.5500,2.0000,4.3800,0.0400,4.0000,3.1200,1.0000,2.5000,0.050000,0.120000,0.040000,10.260000,0.1,sparse_disconnected,automatic,4.0,1.0,16.0,0.05,0.05,0.05
3,20251203_222159,6,3.00%,192,96.00%,2,1.00%,99.50,143.00,99.50,165.50,138.34,198.43,91.70,157.97,79.33,115.17,92.33,151.33,sparse_disconnected,0.1900,0.5600,3.0000,4.5000,0.0400,4.0000,3.0000,0.0000,2.0000,0.0300,0.8700,2.1900,6.9500,0.0600,4.0000,3.4900,0.8000,2.5400,0.0000,0.5800,2.0000,4.6700,0.0400,4.0000,3.1700,1.0000,2.5000,0.050000,0.110000,0.040000,10.110000,0.1,sparse_disconnected,automatic,4.0,1.0,16.0,0.05,0.05,0.05
4,20251203_222210,6,3.00%,194,97.00%,0,0.00%,94.00,135.00,94.00,157.33,137.39,197.25,91.52,157.62,94.67,136.67,100.83,165.00,sparse_disconnected,0.1200,0.6700,2.6700,5.3300,0.0400,4.0000,3.0000,0.3300,2.0000,0.0300,0.8700,2.1900,6.9300,0.0600,4.0000,3.4900,0.8000,2.5400,0.0600,0.5600,2.3300,4.5000,0.0400,4.0000,3.0000,0.6700,2.1700,0.050000,0.110000,0.040000,9.950000,0.1,sparse_disconnected,automatic,4.0,1.0,16.0,0.05,0.05,0.04
5,20251203_222222,8,4.00%,189,94.50%,3,1.50%,,,,,138.75,199.13,91.50,157.68,86.50,125.88,98.00,161.88,sparse_disconnected,,,,,,,,,,0.0300,0.8700,2.1900,6.9600,0.0600,4.0000,3.4900,0.8000,2.5400,0.0200,0.6400,2.1200,5.1200,0.0400,4.0000,3.2500,0.8800,2.5000,0.050000,0.080000,0.040000,9.940000,0.1,sparse_disconnected,automatic,4.0,1.0,16.0,0.05,0.05,

# Summary Statistics
,MEAN,6.80,3.40%,191.80,95.90%,1.40,0.70%,105.38,150.50,105.38,176.21,138.53,198.80,91.61,157.82,85.23,123.78,95.22,156.32,,0.1725,0.6825,2.9175,5.4575,0.0450,4.0000,3.0000,0.0825,2.0000,0.0300,0.8700,2.1880,6.9480,0.0600,4.0000,3.4900,0.7980,2.5380,0.0280,0.5780,2.1560,4.6340,0.0400,4.0000,3.1420,0.8440,2.4000,0.050000,0.102000,0.040000,10.090000
,STD,0.98,0.49%,1.72,0.86%,1.02,0.51%,9.09,12.58,9.09,16.65,1.22,1.72,0.10,0.19,5.91,8.24,3.84,6.26,,0.0303,0.1205,0.1429,0.9383,0.0087,0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.0040,0.0160,0.0000,0.0000,0.0000,0.0040,0.0040,0.0271,0.0325,0.1487,0.2600,0.0000,0.0000,0.0823,0.1487,0.1325,0.000000,0.014697,0.000000,0.127593
