graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,16,4,12,8,0.5,1,0.03333333333333333,1,-1,2,0.0,4,2,2.5,2,3,0,4
1,16,8,9,6,1.0,3,0.06666666666666667,0,-1,3,0.10416666666666666,4,4,2.25,1,4,1,7
2,16,7,9,5,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.7142857142857144,2,4,0,7
3,16,5,11,9,0.625,2,0.041666666666666664,1,-1,2,0.0,4,3,2.8,2,3,0,5
4,16,6,10,6,0.75,2,0.05,1,-1,2,0.0,4,3,2.6666666666666665,2,4,0,6
5,16,5,11,8,0.625,2,0.041666666666666664,1,-1,2,0.0,4,3,2.2,1,3,1,4
6,16,7,9,6,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.857142857142857,2,4,0,7
7,16,3,13,11,0.375,2,0.025,1,-1,2,0.0,4,3,1.6666666666666667,1,2,1,2
8,16,7,9,5,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.4285714285714284,1,4,2,5
9,16,3,13,12,0.375,2,0.025,1,-1,2,0.0,4,3,2.0,1,3,1,2
10,16,4,12,9,0.5,2,0.03333333333333333,1,-1,2,0.0,4,3,2.5,2,3,0,4
11,16,8,8,7,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.75,2,3,0,8
12,16,7,9,7,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.142857142857143,1,3,1,6
13,16,6,10,8,0.75,3,0.05,1,-1,2,0.0,4,4,2.3333333333333335,2,3,0,6
14,16,7,10,7,0.875,3,0.058333333333333334,0,-1,3,0.10416666666666666,4,4,2.142857142857143,1,4,2,5
15,16,4,12,10,0.5,2,0.03333333333333333,1,-1,2,0.0,4,3,2.0,1,3,1,3
16,16,8,8,5,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.375,1,3,1,7
17,16,5,11,9,0.625,3,0.041666666666666664,1,-1,2,0.0,4,4,2.4,2,3,0,5
18,16,4,12,10,0.5,3,0.03333333333333333,1,-1,2,0.0,4,3,2.75,2,3,0,4
19,16,6,10,8,0.75,2,0.05,1,-1,2,0.0,4,3,2.3333333333333335,1,4,2,4
20,16,6,10,7,0.75,2,0.05,1,-1,2,0.0,4,3,2.3333333333333335,1,3,1,5
21,16,7,9,7,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.2857142857142856,1,3,2,5
22,16,5,11,10,0.625,3,0.041666666666666664,1,-1,2,0.0,4,4,2.8,2,3,0,5
23,16,8,8,5,1.0,3,0.06666666666666667,1,-1,2,0.0,4,4,2.25,1,4,2,6
24,16,8,8,5,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.0,1,3,1,7
25,16,7,9,4,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.857142857142857,1,4,1,6
26,16,5,11,7,0.625,2,0.041666666666666664,1,-1,2,0.0,4,3,2.8,2,3,0,5
27,16,7,9,4,0.875,3,0.058333333333333334,1,-1,2,0.0,4,3,2.5714285714285716,1,4,1,6
28,16,6,10,5,0.75,2,0.05,1,-1,2,0.0,4,3,2.1666666666666665,1,4,2,4
29,16,3,13,10,0.375,1,0.025,1,-1,2,0.0,4,2,2.6666666666666665,2,3,0,3
30,16,8,8,5,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.75,2,3,0,8
31,16,6,10,9,0.75,2,0.05,1,-1,2,0.0,4,3,2.0,1,3,2,4
32,16,8,8,2,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.25,1,4,2,6
33,16,8,8,3,1.0,2,0.06666666666666667,1,-1,2,0.0,4,3,2.5,2,3,0,8
34,16,7,9,8,0.875,3,0.058333333333333334,1,-1,2,0.0,4,4,2.4285714285714284,1,4,2,5
35,16,7,9,6,0.875,2,0.058333333333333334,1,-1,2,0.0,4,3,2.4285714285714284,2,3,0,7
36,16,6,10,7,0.75,2,0.05,1,-1,2,0.0,4,3,2.0,1,3,1,5
37,16,8,8,6,1.0,3,0.06666666666666667,1,-1,2,0.0,4,4,2.375,1,4,2,6
38,16,8,9,6,1.0,2,0.06666666666666667,0,-1,3,0.1875,4,3,2.25,1,4,2,6
