graph_index,n_qubits,n_vertices,n_edges,density,time,trotter_steps,matching_diff,pauli_diff
4,3,8,8,0.2857142857142857,0.5,1,0.2631878399847195,0.2579996156158798
4,3,8,8,0.2857142857142857,0.5,3,0.08588369577084701,0.08397816089165276
4,3,8,8,0.2857142857142857,0.5,5,0.05141897629900267,0.05024821247188169
4,3,8,8,0.2857142857142857,0.5,7,0.03670098384327097,0.03585623475812537
4,3,8,8,0.2857142857142857,0.5,9,0.028535023562398544,0.02787435872599271
4,3,8,8,0.2857142857142857,0.5,11,0.02334196121756025,0.022799541110404175
4,3,8,8,0.2857142857142857,0.5,13,0.019748197530657867,0.019288136720389263
4,3,8,8,0.2857142857142857,0.5,15,0.017113466673888036,0.016714059383414148
4,3,8,8,0.2857142857142857,0.5,17,0.015099049470644095,0.014746169788766582
4,3,8,8,0.2857142857142857,0.5,19,0.013508941504350978,0.013192882655727677
4,3,8,8,0.2857142857142857,1.0,1,0.8931115276280587,0.8897423618714312
4,3,8,8,0.2857142857142857,1.0,3,0.2822203628381258,0.27681456127391757
4,3,8,8,0.2857142857142857,1.0,5,0.16888061613461647,0.16498467505282122
4,3,8,8,0.2857142857142857,1.0,7,0.12052704777687973,0.11756865146766743
4,3,8,8,0.2857142857142857,1.0,9,0.09370742064204089,0.09133325401261995
4,3,8,8,0.2857142857142857,1.0,11,0.07665369546118996,0.07467357341357572
4,3,8,8,0.2857142857142857,1.0,13,0.06485249514885458,0.06315507924674084
4,3,8,8,0.2857142857142857,1.0,15,0.056200692148823055,0.05471568873481908
4,3,8,8,0.2857142857142857,1.0,17,0.04958585403285087,0.048266176626077545
4,3,8,8,0.2857142857142857,1.0,19,0.044364315198215494,0.043176924568114505
5,3,8,8,0.2857142857142857,0.1,1,0.008648490522840273,0.008641024939019573
5,3,8,8,0.2857142857142857,0.1,3,0.0028820459708027717,0.0028774993991036515
5,3,8,8,0.2857142857142857,0.1,5,0.0017291901545579277,0.0017263635112021122
5,3,8,8,0.2857142857142857,0.1,7,0.0012351284630931355,0.0012330900101812164
5,3,8,8,0.2857142857142857,0.1,9,0.0009606531154335432,0.0009590614357726834
5,3,8,8,0.2857142857142857,0.1,11,0.0007859879369895152,0.0007846830791050559
5,3,8,8,0.2857142857142857,0.1,13,0.0006650662411238108,0.000663960877688784
5,3,8,8,0.2857142857142857,0.1,15,0.0005763904841451536,0.0005754318212251314
5,3,8,8,0.2857142857142857,0.1,17,0.0005085796867178955,0.0005077334059335506
5,3,8,8,0.2857142857142857,0.1,19,0.0004550448873474637,0.0004542874367098511
5,3,8,8,0.2857142857142857,0.5,1,0.20912383005016905,0.2047362901627632
5,3,8,8,0.2857142857142857,0.5,3,0.06932904976267,0.06659530462791051
5,3,8,8,0.2857142857142857,0.5,5,0.041582204040029075,0.03988223712799355
5,3,8,8,0.2857142857142857,0.5,7,0.02969862841303612,0.02847263736566071
5,3,8,8,0.2857142857142857,0.5,9,0.02309799518603213,0.022140694750275487
5,3,8,8,0.2857142857142857,0.5,11,0.01889797208852326,0.01811317282048081
5,3,8,8,0.2857142857142857,0.5,13,0.01599040335967222,0.015325586536427259
5,3,8,8,0.2857142857142857,0.5,15,0.01385824720473471,0.013281661633909973
5,3,8,8,0.2857142857142857,0.5,17,0.012227804839895757,0.011718810521980014
5,3,8,8,0.2857142857142857,0.5,19,0.010940629644316479,0.010485061642319127
5,3,8,8,0.2857142857142857,1.0,1,0.7480510893370651,0.6912510421618308
5,3,8,8,0.2857142857142857,1.0,3,0.2478846164490521,0.2092279753461766
5,3,8,8,0.2857142857142857,1.0,5,0.14878640472683496,0.12471988457934863
5,3,8,8,0.2857142857142857,1.0,7,0.1062886283999693,0.08892764639670267
5,3,8,8,0.2857142857142857,1.0,9,0.08267313317130615,0.06911564426787022
5,3,8,8,0.2857142857142857,1.0,11,0.06764342254893371,0.05652837753664068
5,3,8,8,0.2857142857142857,1.0,13,0.057237609999428694,0.047821600524231365
5,3,8,8,0.2857142857142857,1.0,15,0.04960640292956417,0.041439897228683784
5,3,8,8,0.2857142857142857,1.0,17,0.04377063609222508,0.03656137936490469
5,3,8,8,0.2857142857142857,1.0,19,0.03916337711629464,0.03271078368959826
6,3,8,8,0.2857142857142857,0.1,1,0.00997780029733863,0.009977800297338682
6,3,8,8,0.2857142857142857,0.1,3,0.003322644653595518,0.0033226446535955722
6,3,8,8,0.2857142857142857,0.1,5,0.001993428846609246,0.0019934288466100783
6,3,8,8,0.2857142857142857,0.1,7,0.0014238466634532475,0.0014238466634540867
6,3,8,8,0.2857142857142857,0.1,9,0.0011074263444522466,0.001107426344454421
6,3,8,8,0.2857142857142857,0.1,11,0.0009060719793356656,0.00090607197933568
6,3,8,8,0.2857142857142857,0.1,13,0.0007666742848194618,0.0007666742848212346
6,3,8,8,0.2857142857142857,0.1,15,0.0006644499564055343,0.0006644499564056396
6,3,8,8,0.2857142857142857,0.1,17,0.0005862787302786696,0.0005862787302788535
6,3,8,8,0.2857142857142857,0.1,19,0.0005245647763115294,0.0005245647763138266
6,3,8,8,0.2857142857142857,0.5,1,0.23645877516352246,0.23645877516352246
6,3,8,8,0.2857142857142857,0.5,3,0.07681449794604032,0.07681449794604064
6,3,8,8,0.2857142857142857,0.5,5,0.04599118014058476,0.04599118014058483
6,3,8,8,0.2857142857142857,0.5,7,0.032831635434543996,0.03283163543454554
6,3,8,8,0.2857142857142857,0.5,9,0.025529567089009768,0.02552956708901087
6,3,8,8,0.2857142857142857,0.5,11,0.020885280507687766,0.02088528050768919
6,3,8,8,0.2857142857142857,0.5,13,0.017670920772431983,0.017670920772435043
6,3,8,8,0.2857142857142857,0.5,15,0.015314123912493179,0.015314123912493281
6,3,8,8,0.2857142857142857,0.5,17,0.013512064763336346,0.013512064763336525
6,3,8,8,0.2857142857142857,0.5,19,0.012089492765960271,0.012089492765960514
6,3,8,8,0.2857142857142857,1.0,1,0.7992141739660589,0.7992141739660591
6,3,8,8,0.2857142857142857,1.0,3,0.23672448971012847,0.23672448971012858
6,3,8,8,0.2857142857142857,1.0,5,0.14053418857246402,0.14053418857246416
6,3,8,8,0.2857142857142857,1.0,7,0.1000865453437711,0.10008654534377114
6,3,8,8,0.2857142857142857,1.0,9,0.07775070300231997,0.07775070300231995
6,3,8,8,0.2857142857142857,1.0,11,0.06357512759591828,0.06357512759592009
6,3,8,8,0.2857142857142857,1.0,13,0.05377532012489516,0.05377532012489608
6,3,8,8,0.2857142857142857,1.0,15,0.04659493671622714,0.04659493671622867
6,3,8,8,0.2857142857142857,1.0,17,0.04110708191177761,0.04110708191178096
6,3,8,8,0.2857142857142857,1.0,19,0.03677619536347733,0.03677619536347895
7,3,8,8,0.2857142857142857,0.1,1,0.008066909979627489,0.008077403942273543
7,3,8,8,0.2857142857142857,0.1,3,0.0026855248003559025,0.0026930451962485706
7,3,8,8,0.2857142857142857,0.1,5,0.0016111498521750366,0.0016158549849036657
7,3,8,8,0.2857142857142857,0.1,7,0.0011507888529522416,0.0011541876191079714
7,3,8,8,0.2857142857142857,0.1,9,0.0008950476045735404,0.0008977032380712773
7,3,8,8,0.2857142857142857,0.1,11,0.0007323073725379656,0.0007344851950585504
7,3,8,8,0.2857142857142857,0.1,13,0.0006196426053020912,0.0006214878268263031
7,3,8,8,0.2857142857142857,0.1,15,0.0005370224523599549,0.0005386229757874502
7,3,8,8,0.2857142857142857,0.1,17,0.00047384266872270436,0.00047525568041115076
7,3,8,8,0.2857142857142857,0.1,19,0.00042396407173131146,0.0004252288379162608
7,3,8,8,0.2857142857142857,0.5,1,0.1882523463028889,0.19436561783525755
7,3,8,8,0.2857142857142857,0.5,3,0.06068857565565494,0.06515265233493354
7,3,8,8,0.2857142857142857,0.5,5,0.03631925843166163,0.03911115234710525
7,3,8,8,0.2857142857142857,0.5,7,0.025923941780522406,0.027940419984092375
7,3,8,8,0.2857142857142857,0.5,9,0.02015718987302137,0.021732683663320485
7,3,8,8,0.2857142857142857,0.5,11,0.016489814258980637,0.017781803213756293
7,3,8,8,0.2857142857142857,0.5,13,0.013951736602863193,0.0150463927297421
