run_id,timestamp,win,win_pct,lose,lose_pct,draw,draw_pct,draw_matching_cx,draw_matching_depth,draw_pauli_cx,draw_pauli_depth,lose_matching_cx,lose_matching_depth,lose_pauli_cx,lose_pauli_depth,win_matching_cx,win_matching_depth,win_pauli_cx,win_pauli_depth,config_graph_type,draw_graph_avg_clustering,draw_graph_avg_degree,draw_graph_clique_number,draw_graph_diameter,draw_graph_edge_count,draw_graph_edge_density,draw_graph_estimated_group_size,draw_graph_estimated_orbit_count,draw_graph_is_bipartite,draw_graph_max_degree,lose_graph_avg_clustering,lose_graph_avg_degree,lose_graph_clique_number,lose_graph_diameter,lose_graph_edge_count,lose_graph_edge_density,lose_graph_estimated_group_size,lose_graph_estimated_orbit_count,lose_graph_is_bipartite,lose_graph_max_degree,win_graph_avg_clustering,win_graph_avg_degree,win_graph_clique_number,win_graph_diameter,win_graph_edge_count,win_graph_edge_density,win_graph_estimated_group_size,win_graph_estimated_orbit_count,win_graph_is_bipartite,win_graph_max_degree,timing_avg_per_graph,timing_max_per_graph,timing_min_per_graph,timing_total_analysis,config_delta_t,config_graph_type,config_matchings,config_n_qubits,config_n_steps,config_n_vertices,win_analysis_time,lose_analysis_time,draw_analysis_time
1,20251204_141422,191,95.50%,8,4.00%,1,0.50%,1359.00,1791.00,1359.00,1985.00,1067.38,1409.12,969.25,1551.00,617.54,817.49,1122.39,1751.95,counting,0.0000,2.0300,2.0000,46.0000,130.0000,0.0200,32.0000,3.0000,1.0000,3.0000,0.0000,2.0300,2.0000,58.3800,129.6200,0.0200,32.0000,3.1200,0.1200,3.1200,0.0000,2.0300,2.0700,72.4100,129.6200,0.0200,32.0000,3.0700,0.1800,3.0700,8.610000,15.900000,6.300000,1722.080000,0.1,counting,automatic,7.0,1.0,128.0,8.59,9.35,7.27
2,20251204_144307,190,95.00%,10,5.00%,0,0.00%,,,,,1131.10,1493.00,1056.00,1698.70,639.02,849.03,1120.68,1747.52,counting,,,,,,,,,,,0.0000,2.0300,2.1000,59.4000,129.9000,0.0200,32.0000,3.0000,0.0000,3.0000,0.0000,2.0300,2.0700,72.3600,129.6100,0.0200,32.0000,3.0800,0.1900,3.0800,11.290000,13.450000,8.560000,2258.410000,0.1,counting,automatic,7.0,1.0,128.0,11.31,10.97,
3,20251204_152049,183,91.50%,17,8.50%,0,0.00%,,,,,1168.00,1538.06,1070.71,1719.29,610.62,809.14,1121.79,1747.47,counting,,,,,,,,,,,0.0000,2.0300,2.0600,58.7100,130.0000,0.0200,32.0000,3.0000,0.0600,3.0000,0.0000,2.0200,2.0700,72.9200,129.5900,0.0200,32.0000,3.0800,0.1900,3.0800,10.330000,12.640000,8.950000,2065.550000,0.1,counting,automatic,7.0,1.0,128.0,10.31,10.47,
4,20251204_155518,190,95.00%,10,5.00%,0,0.00%,,,,,1185.80,1567.60,1048.80,1684.70,583.78,773.68,1121.06,1748.25,counting,,,,,,,,,,,0.0000,2.0300,2.2000,68.2000,129.8000,0.0200,32.0000,3.0000,0.0000,3.0000,0.0000,2.0300,2.0600,71.9000,129.6200,0.0200,32.0000,3.0800,0.1900,3.0800,9.870000,12.520000,9.020000,1974.960000,0.1,counting,automatic,7.0,1.0,128.0,9.85,10.28,
5,20251204_162817,192,96.00%,8,4.00%,0,0.00%,,,,,1097.00,1443.38,1013.25,1608.12,615.52,814.95,1121.79,1750.78,counting,,,,,,,,,,,0.0000,2.0300,2.0000,68.5000,129.6200,0.0200,32.0000,3.0000,0.1200,3.0000,0.0000,2.0300,2.0700,71.8500,129.6200,0.0200,32.0000,3.0800,0.1800,3.0800,10.520000,12.670000,8.890000,2104.160000,0.1,counting,automatic,7.0,1.0,128.0,10.52,10.55,

# Summary Statistics
,MEAN,189.20,94.60%,10.60,5.30%,0.20,0.10%,1359.00,1791.00,1359.00,1985.00,1129.86,1490.23,1031.60,1652.36,613.30,812.86,1121.54,1749.19,,0.0000,2.0300,2.0000,46.0000,130.0000,0.0200,32.0000,3.0000,1.0000,3.0000,0.0000,2.0300,2.0720,62.6380,129.7880,0.0200,32.0000,3.0240,0.0600,3.0240,0.0000,2.0280,2.0680,72.2880,129.6120,0.0200,32.0000,3.0780,0.1860,3.0780,10.124000,13.436000,8.344000,2025.032000
,STD,3.19,1.59%,3.32,1.66%,0.40,0.20%,0.00,0.00,0.00,0.00,43.75,58.40,36.46,63.09,17.68,24.01,0.60,1.83,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0744,4.6764,0.1510,0.0000,0.0000,0.0480,0.0537,0.0480,0.0000,0.0040,0.0040,0.3904,0.0117,0.0000,0.0000,0.0040,0.0049,0.0040,0.884932,1.275219,1.034110,177.005852
