graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,16,15,1,0,1.875,2,0.125,1,15,2,0.0,4,2,1.7333333333333334,1,4,8,7
1,16,16,1,0,2.0,3,0.13333333333333333,0,9,2,0.0,4,3,1.75,1,4,8,8
2,16,16,1,0,2.0,3,0.13333333333333333,0,11,2,0.0,4,3,1.6875,1,4,9,7
3,16,16,1,0,2.0,3,0.13333333333333333,0,12,2,0.0,4,3,1.75,1,4,8,8
4,16,16,1,0,2.0,3,0.13333333333333333,0,12,2,0.0,4,3,1.6875,1,4,9,7
5,16,16,1,0,2.0,3,0.13333333333333333,0,13,2,0.0,4,3,1.6875,1,4,9,7
6,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.75,1,4,8,8
7,16,16,1,0,2.0,3,0.13333333333333333,0,9,2,0.0,4,3,1.75,1,4,8,8
8,16,16,1,0,2.0,2,0.13333333333333333,1,8,2,0.0,4,1,1.875,1,4,8,8
9,16,16,1,0,2.0,3,0.13333333333333333,0,8,2,0.0,4,3,1.6875,1,4,9,7
10,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.75,1,4,8,8
11,16,16,1,0,2.0,3,0.13333333333333333,0,11,2,0.0,4,3,1.75,1,4,8,8
12,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.875,1,4,8,8
13,16,16,1,0,2.0,3,0.13333333333333333,1,10,2,0.0,4,3,1.8125,1,4,8,8
14,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.6875,1,4,9,7
15,16,16,1,0,2.0,3,0.13333333333333333,0,10,2,0.0,4,3,1.6875,1,4,9,7
16,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.8125,1,4,8,8
17,16,16,1,0,2.0,3,0.13333333333333333,0,10,2,0.0,4,3,1.75,1,4,8,8
18,16,16,1,0,2.0,3,0.13333333333333333,0,8,2,0.0,4,3,1.8125,1,4,8,8
19,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.6875,1,4,9,7
20,16,16,1,0,2.0,3,0.13333333333333333,1,11,2,0.0,4,3,1.75,1,4,8,8
21,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.6875,1,4,9,7
22,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.8125,1,4,8,8
23,16,16,1,0,2.0,3,0.13333333333333333,0,9,2,0.0,4,3,1.6875,1,4,9,7
24,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.75,1,4,8,8
25,16,16,1,0,2.0,3,0.13333333333333333,0,10,2,0.0,4,3,1.8125,1,4,8,8
26,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.14583333333333334,4,3,1.6875,1,4,9,7
27,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.75,1,4,8,8
28,16,16,1,0,2.0,3,0.13333333333333333,1,14,2,0.0,4,3,1.75,1,4,8,8
29,16,16,1,0,2.0,3,0.13333333333333333,1,9,2,0.0,4,3,1.8125,1,4,8,8
30,16,16,1,0,2.0,3,0.13333333333333333,1,11,2,0.0,4,3,1.8125,1,4,8,8
31,16,16,1,0,2.0,3,0.13333333333333333,0,10,2,0.0,4,3,1.75,1,4,8,8
32,16,16,1,0,2.0,3,0.13333333333333333,1,12,2,0.0,4,3,1.8125,1,4,8,8
33,16,16,1,0,2.0,3,0.13333333333333333,1,10,2,0.0,4,3,1.8125,1,4,8,8
34,16,16,1,0,2.0,3,0.13333333333333333,1,8,2,0.0,4,3,1.875,1,4,8,8
35,16,16,1,0,2.0,3,0.13333333333333333,1,11,2,0.0,4,3,1.75,1,4,8,8
36,16,16,1,0,2.0,3,0.13333333333333333,1,9,2,0.0,4,3,1.75,1,4,8,8
37,16,16,1,0,2.0,3,0.13333333333333333,0,12,2,0.0,4,3,1.75,1,4,8,8
38,16,16,1,0,2.0,3,0.13333333333333333,0,8,2,0.0,4,3,1.75,1,4,8,8
39,16,16,1,0,2.0,3,0.13333333333333333,1,9,2,0.0,4,3,1.8125,1,4,8,8
40,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.8125,1,4,8,8
41,16,16,1,0,2.0,3,0.13333333333333333,0,14,3,0.10416666666666666,4,3,1.75,1,4,8,8
42,16,16,1,0,2.0,3,0.13333333333333333,1,10,2,0.0,4,3,1.8125,1,4,8,8
43,16,16,1,0,2.0,3,0.13333333333333333,1,13,2,0.0,4,3,1.75,1,4,8,8
44,16,16,1,0,2.0,3,0.13333333333333333,1,8,2,0.0,4,3,1.875,1,4,8,8
45,16,16,1,0,2.0,3,0.13333333333333333,0,8,2,0.0,4,3,1.8125,1,4,8,8
46,16,16,1,0,2.0,3,0.13333333333333333,1,11,2,0.0,4,3,1.75,1,4,8,8
47,16,16,1,0,2.0,3,0.13333333333333333,1,9,2,0.0,4,3,1.75,1,4,8,8
48,16,16,1,0,2.0,3,0.13333333333333333,0,12,2,0.0,4,3,1.6875,1,4,9,7
49,16,16,1,0,2.0,3,0.13333333333333333,1,11,2,0.0,4,3,1.8125,1,4,8,8
50,16,16,1,0,2.0,3,0.13333333333333333,0,12,2,0.0,4,3,1.6875,1,4,9,7
51,16,16,1,0,2.0,3,0.13333333333333333,1,8,2,0.0,4,3,1.875,1,4,8,8
52,16,17,1,0,2.125,3,0.14166666666666666,0,8,2,0.0,4,3,1.9411764705882353,1,4,8,9
53,16,17,1,0,2.125,3,0.14166666666666666,0,10,2,0.0,4,3,1.8235294117647058,1,4,8,9
54,16,17,1,0,2.125,3,0.14166666666666666,1,8,2,0.0,4,2,1.8823529411764706,1,4,8,9
55,16,17,1,0,2.125,3,0.14166666666666666,1,11,2,0.0,4,3,1.8235294117647058,1,4,8,9
56,16,17,1,0,2.125,4,0.14166666666666666,0,8,2,0.0,4,4,1.7058823529411764,1,4,9,8
57,16,17,1,0,2.125,4,0.14166666666666666,0,8,2,0.0,4,4,1.7647058823529411,1,4,8,9
58,16,17,1,0,2.125,4,0.14166666666666666,0,13,3,0.14583333333333334,4,4,1.7058823529411764,1,4,9,8
59,16,17,1,0,2.125,3,0.14166666666666666,0,8,2,0.0,4,3,1.8235294117647058,1,4,8,9
60,16,17,1,0,2.125,3,0.14166666666666666,0,8,2,0.0,4,3,1.8235294117647058,1,4,8,9
61,16,17,1,0,2.125,3,0.14166666666666666,0,10,2,0.0,4,3,1.8235294117647058,1,4,8,9
62,16,17,1,0,2.125,4,0.14166666666666666,0,10,3,0.09375,4,4,1.7647058823529411,1,4,8,9
63,16,17,1,0,2.125,3,0.14166666666666666,1,11,2,0.0,4,3,1.7647058823529411,1,4,8,9
64,16,17,1,0,2.125,3,0.14166666666666666,0,8,2,0.0,4,3,1.7647058823529411,1,4,9,8
65,16,17,1,0,2.125,3,0.14166666666666666,0,11,3,0.10416666666666666,4,3,1.7647058823529411,1,4,9,8
66,16,17,1,0,2.125,3,0.14166666666666666,0,12,2,0.0,4,3,1.6470588235294117,1,4,10,7
67,16,17,1,0,2.125,3,0.14166666666666666,0,6,2,0.0,4,3,1.8235294117647058,1,4,8,9
68,16,17,1,0,2.125,3,0.14166666666666666,0,10,2,0.0,4,3,1.7058823529411764,1,4,9,8
69,16,17,1,0,2.125,3,0.14166666666666666,0,8,3,0.10416666666666666,4,3,1.7058823529411764,1,4,9,8
70,16,17,1,0,2.125,3,0.14166666666666666,0,8,2,0.0,4,3,1.7647058823529411,1,4,9,8
71,16,17,1,0,2.125,3,0.14166666666666666,1,9,2,0.0,4,3,1.9411764705882353,1,4,8,9
