n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
6,64,419,24,16892,17334,24321,2443,4054,4477,14449,6.914449447400737,93,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,412,26,16608,17074,23859,2417,4012,4429,14191,6.8713280926768725,94,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,385,23,15942,16354,22964,2358,3885,4308,13584,6.760814249363868,95,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,387,29,15394,15768,22173,2384,3945,4357,13010,6.457214765100671,96,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,422,24,16660,17046,23993,2402,3948,4389,14258,6.935886761032473,97,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,392,25,15940,16362,22903,2390,3957,4374,13550,6.669456066945607,98,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
6,64,391,24,15972,16422,23021,2432,4026,4447,13540,6.567434210526316,99,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_64v.g6
7,128,1673,44,96148,95627,122749,9914,16487,18173,86234,9.6982045592092,0,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1604,42,91948,91509,117219,9885,16379,18081,82063,9.301770359129996,1,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1668,44,96428,95843,122988,9858,16420,18088,86570,9.781700142016636,2,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1666,42,95360,94918,121757,9789,16189,17896,85571,9.741546633976911,3,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1646,42,94568,94068,120734,9829,16316,18011,84739,9.621324651541356,4,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1623,41,93578,93127,119444,9960,16400,18160,83618,9.395381526104416,5,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1654,44,95102,94622,121513,9830,16251,17966,85272,9.67466937945066,6,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1581,40,90506,89976,115698,9875,16367,18070,80631,9.165164556962026,7,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
7,128,1696,46,97074,96463,123920,9864,16366,18075,87210,9.841240875912408,8,erdos_renyi_p0_20,100graph_erdos_renyi_p0_20_128v.g6
