run_id,timestamp,win,win_pct,lose,lose_pct,draw,draw_pct,draw_matching_cx,draw_matching_depth,draw_pauli_cx,draw_pauli_depth,lose_matching_cx,lose_matching_depth,lose_pauli_cx,lose_pauli_depth,win_matching_cx,win_matching_depth,win_pauli_cx,win_pauli_depth,config_graph_type,draw_graph_avg_clustering,draw_graph_avg_degree,draw_graph_clique_number,draw_graph_diameter,draw_graph_edge_count,draw_graph_edge_density,draw_graph_estimated_group_size,draw_graph_estimated_orbit_count,draw_graph_is_bipartite,draw_graph_max_degree,lose_graph_avg_clustering,lose_graph_avg_degree,lose_graph_clique_number,lose_graph_diameter,lose_graph_edge_count,lose_graph_edge_density,lose_graph_estimated_group_size,lose_graph_estimated_orbit_count,lose_graph_is_bipartite,lose_graph_max_degree,win_graph_avg_clustering,win_graph_avg_degree,win_graph_clique_number,win_graph_diameter,win_graph_edge_count,win_graph_edge_density,win_graph_estimated_group_size,win_graph_estimated_orbit_count,win_graph_is_bipartite,win_graph_max_degree,timing_avg_per_graph,timing_max_per_graph,timing_min_per_graph,timing_total_analysis,config_delta_t,config_graph_type,config_matchings,config_n_qubits,config_n_steps,config_n_vertices,win_analysis_time,lose_analysis_time,draw_analysis_time
1,20251204_135123,109,54.50%,90,45.00%,1,0.50%,226.00,318.00,226.00,364.00,235.13,327.16,180.39,295.58,119.90,170.64,184.01,301.49,counting,0.0000,2.0600,2.0000,19.0000,33.0000,0.0700,8.0000,3.0000,0.0000,3.0000,0.0000,2.0500,2.0800,19.0800,32.8200,0.0700,8.0000,3.1100,0.3100,3.1100,0.0100,2.0400,2.2100,20.3900,32.7000,0.0700,8.0000,3.0600,0.2300,3.0600,0.130000,0.180000,0.120000,26.920000,0.1,counting,automatic,5.0,1.0,32.0,0.13,0.14,0.13
2,20251204_135152,132,66.00%,66,33.00%,2,1.00%,151.50,213.50,151.50,252.50,247.53,344.85,183.65,301.38,121.17,172.25,182.53,298.73,counting,0.0000,2.0600,2.0000,20.5000,33.0000,0.0700,8.0000,3.0000,0.0000,3.0000,0.0000,2.0500,2.1100,18.2400,32.8300,0.0700,8.0000,3.0600,0.2600,3.0600,0.0100,2.0400,2.1700,20.5500,32.7100,0.0700,8.0000,3.0900,0.2700,3.0900,0.130000,0.180000,0.120000,26.430000,0.1,counting,automatic,5.0,1.0,32.0,0.13,0.14,0.13
3,20251204_135220,125,62.50%,73,36.50%,2,1.00%,223.00,307.50,223.00,361.00,236.64,329.18,178.29,293.90,121.50,172.43,184.46,301.21,counting,0.0000,2.0600,2.0000,16.0000,33.0000,0.0700,8.0000,3.0000,0.0000,3.0000,0.0100,2.0600,2.1200,18.6600,32.9000,0.0700,8.0000,3.1100,0.1900,3.1100,0.0100,2.0400,2.1700,20.5100,32.6600,0.0700,8.0000,3.0600,0.3100,3.0600,0.130000,0.170000,0.120000,26.480000,0.1,counting,automatic,5.0,1.0,32.0,0.13,0.14,0.15
4,20251204_135248,129,64.50%,70,35.00%,1,0.50%,125.00,175.00,125.00,204.00,238.56,333.53,185.33,304.29,120.41,171.16,181.55,297.09,counting,0.0000,2.0600,2.0000,20.0000,33.0000,0.0700,8.0000,3.0000,0.0000,3.0000,0.0100,2.0500,2.1100,18.6300,32.8400,0.0700,8.0000,3.0600,0.1600,3.0600,0.0100,2.0400,2.1700,20.4200,32.7100,0.0700,8.0000,3.0900,0.3300,3.0900,0.130000,0.170000,0.120000,26.710000,0.1,counting,automatic,5.0,1.0,32.0,0.13,0.14,0.12
5,20251204_135317,112,56.00%,88,44.00%,0,0.00%,,,,,247.12,344.26,180.17,296.15,122.08,172.84,184.49,301.49,counting,,,,,,,,,,,0.0100,2.0600,2.1500,18.6900,32.9100,0.0700,8.0000,3.0900,0.2000,3.0900,0.0100,2.0400,2.1500,20.6500,32.6300,0.0700,8.0000,3.0700,0.3100,3.0700,0.130000,0.180000,0.120000,26.640000,0.1,counting,automatic,5.0,1.0,32.0,0.13,0.14,

# Summary Statistics
,MEAN,121.40,60.70%,77.40,38.70%,1.20,0.60%,181.38,253.50,181.38,295.38,241.00,335.80,181.57,298.26,121.01,171.86,183.41,300.00,,0.0000,2.0600,2.0000,18.8750,33.0000,0.0700,8.0000,3.0000,0.0000,3.0000,0.0060,2.0540,2.1140,18.6600,32.8600,0.0700,8.0000,3.0860,0.2240,3.0860,0.0100,2.0400,2.1740,20.5040,32.6820,0.0700,8.0000,3.0740,0.2900,3.0740,0.130000,0.176000,0.120000,26.636000
,STD,9.22,4.61%,9.75,4.87%,0.75,0.37%,44.14,60.91,44.14,69.29,5.28,7.44,2.55,3.92,0.77,0.83,1.17,1.79,,0.0000,0.0000,0.0000,1.7455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0049,0.0224,0.2663,0.0374,0.0000,0.0000,0.0224,0.0539,0.0224,0.0000,0.0000,0.0196,0.0933,0.0319,0.0000,0.0000,0.0136,0.0358,0.0136,0.000000,0.004899,0.000000,0.174883
